effect,group,term,estimate,std.error,statistic
fixed,NA,X(Intercept),0.6420531016577152,0.011861135761424103,54.13082815777731
fixed,NA,Xs(exp_centered)Fx1,0.022738735249391233,0.00850027961238549,2.6750573259095307
fixed,NA,Xs(age_centered)Fx1,0.05211128971647977,0.03320606127794947,1.5693306496149948
ran_pars,media_name,sd__(Intercept),0.08673825399408158,NA,NA
ran_pars,subject_id,sd__(Intercept),0.0546709757385607,NA,NA
ran_pars,Xr.0,sd__s(age_centered),0.13576694448113028,NA,NA
ran_pars,Xr,sd__s(exp_centered),6.7125099330085136e-6,NA,NA
ran_pars,Residual,sd__Observation,0.28757907673893324,NA,NA
