effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.6752907534874875,0.014441690922271424,46.759812069241825,265.8024965401411,< .001
fixed,NA,poly1,0.1652378355296339,0.011443769922893346,14.439108496848961,35885.03479426107,< .001
fixed,NA,exp_centered,0.11144094150553585,0.025512106838684722,4.368159094432563,643.3692174140418,< .001
fixed,NA,poly2,-0.31460467714052487,0.011417532577667477,-27.55452414962992,35850.48777994029,< .001
fixed,NA,poly1:exp_centered,0.025814188778870487,0.045049077573790536,0.573023692584754,35882.89592650382,.567
fixed,NA,exp_centered:poly2,-0.2242871697411543,0.04495725841541351,-4.988897847566655,35848.44447440125,< .001
ran_pars,media_name,sd__(Intercept),0.12681947472495786,NA,NA,NA,
ran_pars,subject_id,sd__(Intercept),0.09710994637323553,NA,NA,NA,
ran_pars,Residual,sd__Observation,0.4320986695688018,NA,NA,NA,
