effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.7543218239597884,0.06897652575961766,10.93592081730226,< .001
fixed,NA,exp_centered,0.9592062185534254,0.22925338655293184,4.1840438345365785,< .001
fixed,NA,age_centered,0.04209105982325728,0.006868812212472553,6.127851296739098,< .001
fixed,NA,exp_centered:age_centered,-0.005897920153366436,0.03266685914459245,-0.18054751230476823,.857
ran_pars,media_name,sd__(Intercept),0.3701148453837341,NA,NA,
ran_pars,subject_id,sd__(Intercept),0,NA,NA,
